CODE,FREQUENCY,TIME,Value
BWA,A,1995,25.34418
BWA,A,2000,25.1841
BWA,A,2005,25.49218
BWA,A,2010,25.73153
BWA,A,2011,24.92287
BWA,A,2012,25.23922
BWA,A,2013,24.86629
BWA,A,2014,24.23895
BWA,A,2015,24.86712
BWA,A,2016,23.65199
BWA,A,2017,23.67802
BRA,A,1990,15.45155
BRA,A,1995,15.59976
BRA,A,2000,15.93974
BRA,A,2005,15.67449
BRA,A,2010,16.1341
BRA,A,2011,16.19772
BRA,A,2012,15.41592
BRA,A,2013,14.75907
BRA,A,2014,14.17422
BRA,A,2015,13.7389
BRA,A,2016,12.78547
BRA,A,2017,12.82884
BRN,A,1990,6.44366
BRN,A,1995,6.48079
BRN,A,2000,6.68944
BRN,A,2005,7.0694
BRN,A,2010,7.22044
BRN,A,2011,7.16448
BRN,A,2012,7.35001
BRN,A,2013,6.51222
BRN,A,2014,6.02944
BRN,A,2015,6.33828
BRN,A,2016,5.76848
BRN,A,2017,5.75702
BGR,A,1990,28.67637
BGR,A,1995,26.39074
BGR,A,2000,25.33827
BGR,A,2005,24.3186
BGR,A,2010,23.62288
BGR,A,2011,25.44274
BGR,A,2012,23.3744
BGR,A,2013,21.94858
BGR,A,2014,21.61002
BGR,A,2015,21.67672
BGR,A,2016,20.18148
BGR,A,2017,20.28975
BFA,A,1990,45.98025
BFA,A,1995,45.63399
BFA,A,2000,45.37207
BFA,A,2005,39.80252
BFA,A,2010,38.16137
BFA,A,2011,38.00042
BFA,A,2012,37.93977
BFA,A,2013,33.55557
BFA,A,2014,34.87611
BFA,A,2015,46.96575
BFA,A,2016,43.49526
BFA,A,2017,43.92465
BDI,A,1990,40.56
BDI,A,1995,40.47972
BDI,A,2000,40.38272
BDI,A,2005,39.23144
BDI,A,2010,37.82827
BDI,A,2011,39.06109
BDI,A,2012,41.29613
BDI,A,2013,40.7274
BDI,A,2014,39.72707
BDI,A,2015,38.62336
BDI,A,2016,39.017
BDI,A,2017,39.00327
KHM,A,1990,29.50403
KHM,A,1995,29.73909
KHM,A,2000,29.8484
KHM,A,2005,31.41341
KHM,A,2010,31.5127
KHM,A,2011,31.07054
KHM,A,2012,31.07473
KHM,A,2013,30.42878
KHM,A,2014,28.59801
KHM,A,2015,27.32675
KHM,A,2016,25.42756
KHM,A,2017,25.53915
CMR,A,1990,76.08366
CMR,A,1995,74.82898
CMR,A,2000,72.1505
CMR,A,2005,66.26961
CMR,A,2010,61.87267
CMR,A,2011,59.21358
CMR,A,2012,62.54647
CMR,A,2013,59.36916
CMR,A,2014,58.29008
CMR,A,2015,76.13267
CMR,A,2016,73.86702
CMR,A,2017,74.93486
CAF,A,1990,54.19615
CAF,A,1995,53.97322
CAF,A,2000,53.47561
CAF,A,2005,50.8
CAF,A,2010,50.77156
CAF,A,2011,51.60852
CAF,A,2012,52.71746
CAF,A,2013,51.88443
CAF,A,2014,49.59224
CAF,A,2015,57.87464
CAF,A,2016,56.77797
CAF,A,2017,57.22223
TCD,A,1990,64.50606
TCD,A,1995,64.0611
TCD,A,2000,62.92685
TCD,A,2005,59.73738
TCD,A,2010,56.50536
TCD,A,2011,55.68765
TCD,A,2012,57.59585
TCD,A,2013,55.49521
TCD,A,2014,52.70567
TCD,A,2015,68.11538
TCD,A,2016,65.67592
TCD,A,2017,66.25741
CHL,A,1990,27.4469
CHL,A,1995,28.21053
CHL,A,2000,27.49149
CHL,A,2005,27.40818
CHL,A,2010,27.19477
CHL,A,2011,28.59267
CHL,A,2012,26.24838
CHL,A,2013,25.4118
CHL,A,2014,23.99826
CHL,A,2015,23.72539
CHL,A,2016,22.16609
CHL,A,2017,22.13709
CHN,A,1990,58.9615
CHN,A,1995,59.90655
CHN,A,2000,61.35124
CHN,A,2005,66.99273
CHN,A,2010,70.40975
CHN,A,2011,71.47993
CHN,A,2012,64.46735
CHN,A,2013,66.49567
CHN,A,2014,60.52528
CHN,A,2015,60.01398
CHN,A,2016,53.13792
CHN,A,2017,53.45372
COL,A,1990,20.26284
COL,A,1995,20.23903
COL,A,2000,20.78453
COL,A,2005,21.49354
COL,A,2010,21.80063
COL,A,2011,21.52666
COL,A,2012,21.14001
COL,A,2013,20.04309
COL,A,2014,18.84498
COL,A,2015,17.95165
COL,A,2016,16.9985
COL,A,2017,16.91747
COG,A,1990,47.67734
COG,A,1995,47.3689
COG,A,2000,45.59529
COG,A,2005,42.8329
COG,A,2010,43.96408
COG,A,2011,44.27218
COG,A,2012,43.93055
COG,A,2013,45.07891
COG,A,2014,45.00433
COG,A,2015,44.97132
COG,A,2016,47.47106
COG,A,2017,47.43886
CRI,A,1990,18.44969
CRI,A,1995,18.66415
CRI,A,2000,19.7109
CRI,A,2005,19.82595
CRI,A,2010,19.51495
CRI,A,2011,19.90392
CRI,A,2012,19.58392
CRI,A,2013,18.65269
CRI,A,2014,17.86013
CRI,A,2015,16.98939
CRI,A,2016,15.93494
CRI,A,2017,15.85286
CIV,A,1990,25.31224
CIV,A,1995,25.12734
CIV,A,2000,24.8131
CIV,A,2005,21.77185
CIV,A,2010,21.3244
CIV,A,2011,22.8539
CIV,A,2012,22.77987
CIV,A,2013,21.45758
CIV,A,2014,20.67161
CIV,A,2015,26.98857
CIV,A,2016,26.37999
CIV,A,2017,26.46771
HRV,A,1990,21.64819
HRV,A,1995,20.5018
HRV,A,2000,21.23521
HRV,A,2005,21.78639
HRV,A,2010,20.73928
HRV,A,2011,21.65123
HRV,A,2012,19.73537
HRV,A,2013,19.23496
HRV,A,2014,18.27919
HRV,A,2015,19.11256
HRV,A,2016,17.65872
HRV,A,2017,17.72149
CUB,A,1990,23.58625
CUB,A,1995,23.54902
CUB,A,2000,23.95317
CUB,A,2005,23.96738
CUB,A,2010,23.85034
CUB,A,2011,24.4404
CUB,A,2012,23.09024
CUB,A,2013,22.37591
CUB,A,2014,20.91656
CUB,A,2015,20.88716
CUB,A,2016,19.65372
CUB,A,2017,19.63593
CYP,A,1990,19.42981
CYP,A,1995,19.15801
CYP,A,2000,20.93244
CYP,A,2005,20.35955
CYP,A,2010,20.52215
CYP,A,2011,20.60061
CYP,A,2012,19.8866
CYP,A,2013,19.19752
CYP,A,2014,18.95962
CYP,A,2015,19.77939
CYP,A,2016,17.548
CYP,A,2017,17.75193
PRK,A,1990,38.82939
PRK,A,1995,38.70999
PRK,A,2000,39.18504
PRK,A,2005,39.66628
PRK,A,2010,39.4513
PRK,A,2011,39.65942
PRK,A,2012,36.68006
PRK,A,2013,37.68738
